Product,State,n_months,prophet_mse,prophet_rmse,prophet_mae,prophet_mape,sarima_mse,sarima_rmse,sarima_mae,sarima_mape,chosen_model,notes
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",AL,43,,,,,3.3742847577307025,1.8369226324836607,1.3468468468468464,0.4246996996996996,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",IN,43,,,,,3.4803993221283136,1.86558283711239,1.7027027036375912,0.5477477478334459,SARIMA,
MORTGAGE,KY,43,,,,,0.42512782895305573,0.6520182734809322,0.5945945940099279,0.5585585576815585,SARIMA,
VEHICLE LOAN OR LEASE,MS,43,,,,,3.169782286734115,1.7803882404504123,1.7202621181481892,1.6393648261776514,SARIMA,
VEHICLE LOAN OR LEASE,NV,43,,,,,0.6141952763574388,0.7837061160648414,0.7252252252252255,0.5510510510510515,SARIMA,
CHECKING OR SAVINGS ACCOUNT,ID,42,,,,,3.151234570157959,1.7751717015990198,1.4814814820230955,0.4891975309770337,SARIMA,
MORTGAGE,DE,42,,,,,0.4174382716049378,0.6460946305340556,0.6296296296296293,0.6041666666666662,SARIMA,
VEHICLE LOAN OR LEASE,CT,42,,,,,0.8433641989030626,0.9183486260146865,0.8333333333333334,0.5007716038601158,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",CT,41,,,,,2.10361560923317,1.4503846418220134,1.1852053262020268,0.7461668622766638,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",WI,41,,,,,4.493197278981778,2.119716320402751,1.8809523809658464,0.5476190476207308,SARIMA,
STUDENT LOAN,AZ,41,,,,,0.5647527140367306,0.7515003087402763,0.5859323264651489,0.3212667366070832,SARIMA,
STUDENT LOAN,TN,41,,,,,6.649619690415008,2.578685651725508,2.0652067517938137,0.5926641259568897,SARIMA,
STUDENT LOAN,WA,41,,,,,5.439050879761372,2.332177283090068,1.9706050833964062,1.267534779965077,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",KY,40,,,,,1.41196880444639,1.188262935737032,0.7436891864771309,0.212038736749896,SARIMA,
MORTGAGE,KS,40,,,,,0.6560328141171331,0.8099585261710214,0.7120442936440515,0.6760498303495582,SARIMA,
MORTGAGE,MS,40,,,,,0.5743944638306839,0.7578881605030414,0.6666666666666666,0.4248366011423868,SARIMA,
CHECKING OR SAVINGS ACCOUNT,NH,39,,,,,3.4425608256537994,1.8554139229977227,1.3528161056817956,0.6850168803161258,SARIMA,
CHECKING OR SAVINGS ACCOUNT,RI,39,,,,,2.60979968527243,1.61548744509898,1.5676205772102871,1.3115020322402933,SARIMA,
DEBT COLLECTION,ME,39,,,,,1.5741798792286612,1.2546632533188582,0.979443398102061,0.4401693271395644,SARIMA,
STUDENT LOAN,IN,39,,,,,11.955973288771636,3.4577410673403,2.4410161985706416,0.8747215648455908,SARIMA,
STUDENT LOAN,LA,39,,,,,2.4262722365332974,1.5576495872092984,1.221809671310092,0.5377112502889249,SARIMA,
STUDENT LOAN,MN,39,,,,,6.333333333333336,2.5166114784235836,1.3333333333333337,0.4583333333333333,SARIMA,
STUDENT LOAN,WI,39,,,,,11.333333333333334,3.366501646120693,3.0,1.5,SARIMA,
DEBT COLLECTION,NH,38,,,,,2.9694775962977147,1.7232172226094176,1.4957659569793684,0.631185369984746,SARIMA,
VEHICLE LOAN OR LEASE,CO,38,,,,,0.4013344542223112,0.6335096323042856,0.5944554835914868,0.48892655689074416,SARIMA,
VEHICLE LOAN OR LEASE,KY,38,,,,,0.5764973977438896,0.7592742572640598,0.6041666686388538,0.30815972279744347,SARIMA,
VEHICLE LOAN OR LEASE,MN,38,,,,,0.5738932297567442,0.7575574102051568,0.6666666666666665,0.4253472216170146,SARIMA,
VEHICLE LOAN OR LEASE,WA,38,,,,,1.4322916676374853,1.1967838851010175,0.9583333336320466,0.4461805554933235,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",OK,37,,,,,0.6839745628829029,0.8270275466288308,0.6309387438176969,0.2233135529651158,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",UT,37,,,,,0.2166579952149291,0.4654653533990786,0.4274193549276162,0.25448028677539564,SARIMA,
STUDENT LOAN,MO,37,,,,,8.12573707943115,2.850567852100902,1.9193548387096773,0.4977598566308245,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",AR,36,,,,,0.576037927283119,0.7589716248207959,0.5034073961624376,0.30666447185534823,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",DE,36,,,,,,,,,FAILED,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",MS,36,,,,,3.870637514112879,1.9673935839360865,1.601496125284389,0.4474486092571828,SARIMA,
STUDENT LOAN,CT,36,,,,,,,,,FAILED,
STUDENT LOAN,OR,36,,,,,0.8233333333333337,0.9073771725877469,0.8333333333333334,0.5194444444444443,SARIMA,
VEHICLE LOAN OR LEASE,OK,35,,,,,,,,,FAILED,
VEHICLE LOAN OR LEASE,WI,35,,,,,1.7693351354719538,1.3301635747049887,1.103760480135498,0.5731220575296114,SARIMA,
CREDIT CARD OR PREPAID CARD,AZ,34,,,,,11.2195963822046,3.3495665961739887,2.950661239306401,0.21065812637101786,SARIMA,
